iteration,trainAcc,devAcc
0,0.12225121133060007,0.1020066889632107
1,0.10566530003727172,0.09866220735785954
2,0.12057398434588147,0.11204013377926421
3,0.1326872903466269,0.11538461538461539
4,0.158777487886694,0.15384615384615385
5,0.14908684308609765,0.1454849498327759
6,0.14703689899366382,0.1454849498327759
7,0.1865449124114797,0.18896321070234115
8,0.19008572493477452,0.1806020066889632
9,0.18356317554975773,0.18227424749163879
10,0.18859485650391353,0.17391304347826086
11,0.19530376444278794,0.18227424749163879
12,0.1841222512113306,0.1806020066889632
13,0.1994036526276556,0.18394648829431437
14,0.18263138278046961,0.18227424749163879
15,0.1984718598583675,0.18394648829431437
16,0.20499440924338427,0.1956521739130435
17,0.2109578829668282,0.18896321070234115
18,0.21524412970555348,0.19899665551839466
19,0.21598956392098398,0.19063545150501673
20,0.21058516585911294,0.1956521739130435
21,0.21729407379798732,0.19063545150501673
22,0.22008945210585165,0.19899665551839466
23,0.22996645546030564,0.2040133779264214
24,0.22176667909057027,0.19899665551839466
25,0.2171077152441297,0.1956521739130435
26,0.2247484159522922,0.205685618729097
27,0.2185985836749907,0.1956521739130435
28,0.2264256429370108,0.20066889632107024
29,0.2307118896757361,0.20903010033444816
