iteration,trainAcc,devAcc
0,0.14480059634737236,0.1454849498327759
1,0.15169586284010436,0.1354515050167224
2,0.14908684308609765,0.13043478260869565
3,0.1513231457323891,0.13043478260869565
4,0.15393216548639582,0.13043478260869565
5,0.15616846813268728,0.1254180602006689
6,0.15318673127096533,0.1254180602006689
7,0.15486395825568394,0.13043478260869565
8,0.15244129705553486,0.1254180602006689
9,0.15262765560939248,0.12709030100334448
10,0.15225493850167723,0.1254180602006689
11,0.15225493850167723,0.13043478260869565
12,0.15355944837868057,0.12876254180602006
13,0.15318673127096533,0.12709030100334448
14,0.15337308982482295,0.13377926421404682
15,0.15505031680954157,0.1254180602006689
16,0.1537458069325382,0.13210702341137123
17,0.15486395825568394,0.13043478260869565
18,0.15542303391725681,0.1354515050167224
19,0.15505031680954157,0.13712374581939799
20,0.15411852404025345,0.13377926421404682
21,0.15467759970182632,0.13210702341137123
22,0.15467759970182632,0.1354515050167224
23,0.15355944837868057,0.13210702341137123
24,0.15355944837868057,0.13043478260869565
25,0.1520685799478196,0.13210702341137123
26,0.1520685799478196,0.13043478260869565
27,0.15337308982482295,0.13377926421404682
28,0.15188222139396199,0.13210702341137123
29,0.1537458069325382,0.13377926421404682
