iteration,trainAcc,devAcc
0,0.1738552156564697,0.1488294314381271
1,0.16986509595287858,0.14381270903010032
2,0.15029450883526504,0.15384615384615385
3,0.18772563176895307,0.15551839464882944
4,0.20083602508075243,0.1939799331103679
5,0.20083602508075243,0.1806020066889632
6,0.21147634429032872,0.18729096989966554
7,0.20881626448793464,0.19063545150501673
8,0.20938628158844766,0.18227424749163879
9,0.22382671480144403,0.1939799331103679
10,0.23047691430742923,0.19732441471571907
11,0.21812654379631388,0.19063545150501673
12,0.22401672050161506,0.21237458193979933
13,0.23161694850845527,0.20735785953177258
14,0.26106783203496103,0.23244147157190637
15,0.23902717081512445,0.19899665551839466
16,0.2371271138134144,0.21070234113712374
17,0.25745772373171194,0.23411371237458195
18,0.24396731901957058,0.21906354515050167
19,0.23085692570777122,0.20234113712374582
20,0.23617708531255938,0.2140468227424749
21,0.24396731901957058,0.2140468227424749
22,0.24548736462093862,0.21070234113712374
23,0.2523275698270948,0.22909698996655517
24,0.24966749002470073,0.23244147157190637
25,0.26866806004180127,0.23244147157190637
26,0.26030780923427704,0.22909698996655517
27,0.26885806574197224,0.2391304347826087
28,0.2549876496294889,0.22408026755852842
29,0.26619798593957816,0.23411371237458195
