iteration,trainAcc,devAcc
0,0.4514535436063082,0.411371237458194
1,0.5344860345810374,0.4682274247491639
2,0.5785673570207106,0.4899665551839465
3,0.5795173855215656,0.4882943143812709
4,0.5819874596237887,0.4866220735785953
5,0.5981379441383241,0.4983277591973244
6,0.6021280638419153,0.4983277591973244
7,0.5973779213376401,0.49498327759197325
8,0.6000380011400342,0.4899665551839465
9,0.6080182405472164,0.5016722408026756
10,0.6061181835455064,0.5
11,0.6036481094432833,0.49331103678929766
12,0.6049781493444804,0.5016722408026756
13,0.6087782633479004,0.5
14,0.6101083032490975,0.5
15,0.6108683260497815,0.5033444816053512
16,0.6127683830514915,0.5
17,0.6201786053581607,0.5083612040133779
18,0.6140984229526886,0.5117056856187291
19,0.6156184685540567,0.5117056856187291
20,0.6216986509595288,0.5100334448160535
21,0.6178985369561086,0.5100334448160535
22,0.6184685540566217,0.5083612040133779
23,0.6232186965608968,0.5066889632107023
24,0.6251187535626069,0.5133779264214047
25,0.630058901767053,0.520066889632107
26,0.6264487934638039,0.5183946488294314
27,0.6254987649629489,0.5133779264214047
28,0.629868896066882,0.5217391304347826
29,0.629108873266198,0.5167224080267558
