iteration,trainAcc,devAcc
0,0.777693330799924,0.34448160535117056
1,0.9285578567357021,0.3963210702341137
2,0.9752992589777694,0.40635451505016723
3,0.9916397491924758,0.41638795986622074
4,0.9967699030970929,0.4080267558528428
5,0.999049971499145,0.40301003344481606
6,0.9977199315979479,0.4096989966555184
7,0.999239977199316,0.4080267558528428
8,1.0,0.3996655518394649
9,1.0,0.3996655518394649
10,1.0,0.3996655518394649
11,1.0,0.3996655518394649
12,1.0,0.3996655518394649
13,1.0,0.3996655518394649
14,1.0,0.3996655518394649
15,1.0,0.3996655518394649
16,1.0,0.3996655518394649
17,1.0,0.3996655518394649
18,1.0,0.3996655518394649
19,1.0,0.3996655518394649
20,1.0,0.3996655518394649
21,1.0,0.3996655518394649
22,1.0,0.3996655518394649
23,1.0,0.3996655518394649
24,1.0,0.3996655518394649
25,1.0,0.3996655518394649
26,1.0,0.3996655518394649
27,1.0,0.3996655518394649
28,1.0,0.3996655518394649
29,1.0,0.3996655518394649
