iteration,trainAcc,devAcc
0,0.10603801714498695,0.11872909698996656
1,0.10529258292955647,0.11872909698996656
2,0.10398807305255311,0.11538461538461539
3,0.11516958628401043,0.12040133779264214
4,0.10696980991427507,0.11204013377926421
5,0.11125605665300037,0.12709030100334448
6,0.1064107342527022,0.11538461538461539
7,0.1123742079761461,0.11204013377926421
8,0.10771524412970555,0.12040133779264214
9,0.11200149086843086,0.1254180602006689
10,0.11498322773015282,0.12709030100334448
11,0.11554230339172568,0.12207357859531773
12,0.11777860603801714,0.12040133779264214
13,0.11684681326872903,0.11705685618729098
14,0.12113306000745434,0.12207357859531773
15,0.11926947446887812,0.12040133779264214
16,0.1190831159150205,0.11872909698996656
17,0.11777860603801714,0.12040133779264214
18,0.11889675736116288,0.12040133779264214
19,0.11721953037644428,0.11705685618729098
20,0.12057398434588147,0.11538461538461539
21,0.11610137905329855,0.12040133779264214
22,0.11964219157659337,0.11705685618729098
23,0.11628773760715617,0.12207357859531773
24,0.11945583302273574,0.12374581939799331
25,0.11796496459187476,0.12207357859531773
26,0.11852404025344764,0.12374581939799331
27,0.11964219157659337,0.12876254180602006
28,0.12001490868430861,0.12207357859531773
29,0.12057398434588147,0.12374581939799331
