iteration,trainAcc,devAcc
0,0.6954208626258788,0.47157190635451507
1,0.8219646589397682,0.49498327759197325
2,0.8753562606878207,0.5117056856187291
3,0.9175375261257838,0.5150501672240803
4,0.9407182215466464,0.5100334448160535
5,0.9486984609538286,0.5133779264214047
6,0.9716891506745202,0.5150501672240803
7,0.9806194185825575,0.5167224080267558
8,0.9893596807904237,0.5050167224080268
9,0.9887896636899107,0.5167224080267558
10,0.9880296408892266,0.5066889632107023
11,0.9956298688960669,0.5117056856187291
12,0.9969599087972639,0.5117056856187291
13,0.9946798403952118,0.5150501672240803
14,0.9965798973969219,0.5117056856187291
15,0.9975299258977769,0.5033444816053512
16,0.999239977199316,0.5083612040133779
17,0.999429982899487,0.5050167224080268
18,1.0,0.5033444816053512
19,1.0,0.5033444816053512
20,1.0,0.5033444816053512
21,1.0,0.5033444816053512
22,1.0,0.5033444816053512
23,1.0,0.5033444816053512
24,1.0,0.5033444816053512
25,1.0,0.5033444816053512
26,1.0,0.5033444816053512
27,1.0,0.5033444816053512
28,1.0,0.5033444816053512
29,1.0,0.5033444816053512
